,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,followers,popularity_artist,duration_mins
count,586672.0,586672.0,586672.0,586672.0,586672.0,586672.0,586672.0,586672.0,586672.0,586672.0,586672.0,586672.0,586672.0,586672.0,586672.0,574811.0,574812.0,586672.0
mean,27.570052772247525,230051.16728597923,0.044085962854883136,0.5635938180107454,0.5420359919116644,5.2216025308860825,-10.206066809051734,0.6587974200234543,0.1048635418087108,0.44986272444745967,0.11345078218817323,0.21393501687484662,0.5522924730805289,118.46485662687157,3.8733824010690814,1105901.3328815906,50.6808260787875,3.834186121432986
std,18.370642366208955,126526.08741847148,0.20528629415314356,0.16610265429332155,0.2519229409000019,3.5194231087254826,5.089327901663156,0.47411365994300586,0.17989279240565847,0.3488367000936726,0.2668678704818588,0.18432559813441518,0.25767093701118204,29.764107701335053,0.4731624049830496,3915702.1761962133,19.959986039622873,2.1087681236411924
min,0.0,3344.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055733333333333336
25%,13.0,175093.0,0.0,0.453,0.343,2.0,-12.891,0.0,0.034,0.0969,0.0,0.0983,0.346,95.6,4.0,12377.0,38.0,2.9182166666666665
50%,27.0,214893.0,0.0,0.577,0.549,5.0,-9.243,1.0,0.0443,0.422,2.45e-05,0.139,0.564,117.384,4.0,97096.0,52.0,3.58155
75%,41.0,263867.0,0.0,0.686,0.748,8.0,-6.482,1.0,0.0763,0.785,0.00955,0.278,0.769,136.321,4.0,613060.0,65.0,4.397783333333333
max,100.0,5621218.0,1.0,0.991,1.0,11.0,5.376,1.0,0.971,0.996,1.0,1.0,1.0,246.381,5.0,78900234.0,100.0,93.68696666666666
