release_date,acousticness,danceability,energy,instrumentalness,liveness,valence,speechiness
1922,0.8988571428571429,0.5333197278911564,0.3240540476190476,0.3249710473809524,0.2506704081632653,0.5636051020408164,0.24629523809523807
1923,0.8599648392694064,0.6373318112633181,0.26697671232876713,0.1576587888127854,0.22539619482496193,0.6719666666666667,0.5520716894977169
1924,0.8662656666666667,0.5933443917851501,0.35672496050552926,0.3396275428751975,0.20344660347551344,0.5549353870458136,0.375208214849921
1925,0.9121696013289037,0.6173909191583611,0.263749169435216,0.2753839743521595,0.25515692137320045,0.6351962347729789,0.3056928017718715
1926,0.7857388001407459,0.6221133004926108,0.26307512315270937,0.32341618073891626,0.21144686840253343,0.5397016959887403,0.35695193525686136
1927,0.9062528041666666,0.650711,0.28046346666666666,0.270477812775,0.182666,0.6801019166666666,0.3668435
1928,0.9400751533430232,0.5422420058139535,0.2444614534883721,0.45334342452034887,0.1750560319767442,0.5240544331395348,0.14862281976744185
1929,0.9544200710479573,0.6032430728241563,0.3190175843694494,0.36426296737122554,0.191096891651865,0.645756838365897,0.10431731793960923
1930,0.9250127892278954,0.5301384806973849,0.3317167870485679,0.3279178458966376,0.22131556662515567,0.594140597758406,0.12629352428393525
1931,0.8716665354330708,0.5456340551181103,0.2827495994094488,0.3026176533562992,0.21939990157480316,0.5660640748031496,0.17291151574803149
1932,0.8217892237442922,0.5878218264840183,0.2989957077625571,0.15253482862100456,0.20577707762557076,0.5841237442922375,0.3167481278538813
1933,0.9004493161634103,0.5729984014209591,0.3274575843694494,0.2317605863499112,0.197756838365897,0.5903865008880995,0.0870277975133215
1934,0.9041895053403141,0.543469109947644,0.31764544502617803,0.2771834993612566,0.20510596858638744,0.5658188481675392,0.1059207329842932
1935,0.8840780383795309,0.5260398720682303,0.2731281947405828,0.2770885195735608,0.21241933191186924,0.5094961620469083,0.2271687277896233
1936,0.6650616777845405,0.6150648204503957,0.2925930249543518,0.14639270961046866,0.21125234327449788,0.5746437005477785,0.5157452830188679
1937,0.9055227569875776,0.548664052795031,0.32683946428571425,0.34676754867236026,0.2235082298136646,0.58994650621118,0.08592437888198758
1938,0.9320870150851581,0.5056226277372262,0.29895379562043795,0.376638311216545,0.23263025141930252,0.5409455636658556,0.09634914841849149
1939,0.9224981294964029,0.5311755395683453,0.31114268585131893,0.3057886384832134,0.23536169064748202,0.5866712230215827,0.12149142685851318
1940,0.9221893993506493,0.5056798701298701,0.3367555627705628,0.36482151383116884,0.21549475108225108,0.5922676623376624,0.0885564935064935
1941,0.9173012218045113,0.4973546992481203,0.2712775626566416,0.4009701283521303,0.20965964912280702,0.5105498120300752,0.09678728070175438
1942,0.8854748135398738,0.4671991967871486,0.2541288410786001,0.40402500395295465,0.20564658634538152,0.4813953528399311,0.08270946643717728
1943,0.9199401880299252,0.4876628428927681,0.2778188944305902,0.4298416883541147,0.23535644222776392,0.5495053200332501,0.11069451371571074
1944,0.9295920516499283,0.517421018651363,0.2588097769010043,0.44988798167862265,0.2182965566714491,0.5613802008608321,0.14275416068866573
1945,0.9074871134139321,0.4757537708693149,0.25893066263673,0.3705516844271733,0.20727207829591252,0.49192469775474956,0.09776960276338514
1946,0.92625949744067,0.4436435551419265,0.2402645695672406,0.4738318721126105,0.21100688692415076,0.4441132154490461,0.08324588180549092
1947,0.9131273438914027,0.4858689793866265,0.27563176470588235,0.3214746128959276,0.22826289592760182,0.5214350427350427,0.11200819507290095
1948,0.9398070183486239,0.44508862385321096,0.24576880183486238,0.3596714185045871,0.21347481651376146,0.44752302752293577,0.08576500000000001
1949,0.8902327644121653,0.460109169314571,0.2676600726282342,0.28199904347253746,0.20462473899228326,0.46548379482523833,0.1129754425783023
1950,0.836208753239987,0.5121728427222404,0.29928608596548356,0.22721607270595898,0.21769195701725824,0.5401124389449691,0.18454640182351023
1951,0.868107454091433,0.480388820591625,0.2871136496350365,0.29109765625816364,0.21487018824433346,0.4780800998847484,0.1389739915482136
1952,0.8864767246823257,0.4569385444743935,0.26820326530612243,0.2884491679437813,0.21755040431266845,0.4554068787447054,0.11495652676164805
